k,ZMP_ref_x,ZMP_ref_y,ZMP_x,COM_x,ZMP_y,COM_y
4290,0.2,-0.05,0.200055,0.198562,-0.0501088,-0.0453646
4291,0.2,-0.05,0.200054,0.198577,-0.050108,-0.045384
4292,0.2,-0.05,0.200054,0.198593,-0.0501073,-0.0454032
4293,0.2,-0.05,0.200053,0.198608,-0.0501065,-0.0454222
4294,0.2,-0.05,0.200053,0.198624,-0.0501058,-0.045441
4295,0.2,-0.05,0.200053,0.198639,-0.050105,-0.0454596
4296,0.2,-0.05,0.200052,0.198655,-0.0501043,-0.045478
4297,0.2,-0.05,0.200052,0.19867,-0.0501036,-0.0454961
4298,0.2,-0.05,0.200052,0.198685,-0.0501028,-0.0455141
4299,0.2,-0.05,0.200051,0.1987,-0.0501021,-0.0455318
4300,0.2,-0.05,0.200051,0.198715,-0.0501014,-0.0455494
4301,0.2,-0.05,0.20005,0.19873,-0.0501007,-0.0455668
4302,0.2,-0.05,0.20005,0.198745,-0.0501,-0.0455839
4303,0.2,-0.05,0.20005,0.19876,-0.0500993,-0.0456008
4304,0.2,-0.05,0.200049,0.198775,-0.0500986,-0.0456176
4305,0.2,-0.05,0.200049,0.19879,-0.0500979,-0.0456341
4306,0.2,-0.05,0.200049,0.198805,-0.0500972,-0.0456505
4307,0.2,-0.05,0.200048,0.198819,-0.0500965,-0.0456666
4308,0.2,-0.05,0.200048,0.198834,-0.0500958,-0.0456826
4309,0.2,-0.05,0.200048,0.198849,-0.0500952,-0.0456983
4310,0.2,-0.05,0.200047,0.198863,-0.0500945,-0.0457139
4311,0.2,-0.05,0.200047,0.198878,-0.0500938,-0.0457293
4312,0.2,-0.05,0.200047,0.198892,-0.0500932,-0.0457444
